site,date,depth_m,diver,time,lesion_count
Atlantis,3/25/22,2,Cheyenna,3:17,1
Atlantis,3/25/22,2,Cheyenna,0:48,11
Atlantis,3/25/22,2,Cheyenna,3:20,1
Atlantis,3/25/22,2,Cheyenna,4:19,0
Atlantis,3/25/22,2,Cheyenna,1:36,0
Atlantis,3/25/22,2,Cheyenna,0:41,10
Atlantis,3/25/22,2,Cheyenna,1:04,22
Atlantis,3/25/22,2,Cheyenna,4:36,0
Atlantis,3/25/22,2,Cheyenna,1:15,1
Atlantis,3/25/22,2,Cheyenna,1:28,7
Atlantis,3/25/22,2,Cheyenna,0:13,3
Atlantis,3/25/22,2,Cheyenna,4:25,2
Atlantis,3/25/22,2,Cheyenna,1:11,8
Atlantis,3/25/22,2,Cheyenna,1:51,2
Atlantis,3/25/22,2,Remon,2:05,2
Atlantis,3/25/22,2,Remon,4:20,3
Atlantis,3/25/22,2,Remon,5:14,1
Atlantis,3/25/22,2,Remon,1:25,18
Atlantis,3/25/22,2,Remon,5:23,4
Atlantis,3/25/22,2,Remon,2:22,1
Atlantis,3/25/22,2,Remon,1:12,11
Atlantis,3/25/22,2,Remon,3:10,0
Atlantis,3/25/22,2,Remon,1:22,16
Atlantis,3/25/22,2,Remon,1:27,10
Atlantis,3/25/22,2,Remon,5:21,19
Atlantis,3/25/22,2,Remon,1:37,0
Atlantis,3/25/22,2,Remon,4:17,6
Atlantis,3/25/22,2,Remon,1:52,8
Atlantis,3/25/22,2,Remon,5:09,11
Atlantis,3/25/22,2,Remon,4:07,6
Atlantis,3/25/22,2,Remon,3:15,0
Atlantis,3/25/22,2,Remon,3:43,12
Atlantis,3/25/22,2,Remon,3:47,12
Atlantis,3/25/22,2,Remon,4:37,4
Atlantis,3/25/22,2,Remon,1:26,3
Atlantis,3/25/22,2,Remon,1:41,7
Atlantis,3/25/22,2,Remon,3:34,5
Atlantis,3/25/22,2,Remon,3:52,3
Atlantis,3/25/22,2,Remon,4:22,0
Atlantis,3/25/22,2,Remon,2:45,2
Atlantis,3/25/22,2,Remon,4:29,3
Atlantis,3/25/22,2,Remon,0:13,4
Atlantis,3/25/22,2,Remon,5:55,6
Atlantis,3/25/22,2,Remon,1:04,12
Atlantis,3/25/22,2,Remon,0:29,1
Atlantis,3/25/22,2,Remon,4:17,0
Atlantis,3/25/22,2,Remon,2:33,5
Atlantis,3/25/22,2,Remon,5:49,1
Atlantis,3/25/22,2,Remon,2:41,3
Atlantis,3/25/22,2,Remon,0:49,5
Atlantis,3/25/22,2,Remon,4:29,4
Atlantis,3/25/22,2,Remon,0:33,2
Atlantis,3/25/22,2,Remon,0:32,3
Atlantis,3/25/22,5,Cheyenna,3:09,7
Atlantis,3/25/22,5,Cheyenna,3:00,4
Atlantis,3/25/22,5,Cheyenna,0:18,3
Atlantis,3/25/22,5,Cheyenna,5:01,1
Atlantis,3/25/22,5,Cheyenna,2:28,2
Atlantis,3/25/22,5,Cheyenna,3:25,1
Atlantis,3/25/22,5,Cheyenna,1:39,0
Atlantis,3/25/22,5,Cheyenna,2:30,0
Atlantis,3/25/22,5,Cheyenna,0:18,4
Atlantis,3/25/22,5,Cheyenna,4:42,4
Atlantis,3/25/22,5,Cheyenna,4:51,1
Atlantis,3/25/22,5,Cheyenna,3:10,1
Atlantis,3/25/22,5,Cheyenna,0:54,0
Atlantis,3/25/22,5,Cheyenna,2:13,1
Atlantis,3/25/22,5,Cheyenna,5:08,5
Atlantis,3/25/22,5,Cheyenna,3:03,0
Atlantis,3/25/22,5,Cheyenna,0:58,1
Atlantis,3/25/22,5,Cheyenna,1:45,8
Atlantis,3/25/22,5,Cheyenna,3:23,3
Atlantis,3/25/22,5,Cheyenna,3:52,1
Atlantis,3/25/22,5,Cheyenna,4:46,4
Atlantis,3/25/22,5,Cheyenna,4:43,7
Atlantis,3/25/22,5,Cheyenna,2:24,4
Atlantis,3/25/22,5,Cheyenna,0:48,3
Atlantis,3/25/22,5,Cheyenna,2:57,0
Atlantis,3/25/22,5,Cheyenna,1:52,4
Atlantis,3/25/22,5,Cheyenna,1:41,11
Atlantis,3/25/22,5,Cheyenna,2:07,2
Atlantis,3/25/22,5,Cheyenna,2:38,3
Atlantis,3/25/22,5,Cheyenna,2:45,2
Atlantis,3/25/22,5,Cheyenna,3:03,0
Atlantis,3/25/22,5,Cheyenna,4:30,5
Atlantis,3/25/22,5,Cheyenna,3:24,2
Atlantis,3/25/22,5,Cheyenna,2:09,4
Atlantis,3/25/22,5,Cheyenna,4:23,11
Atlantis,3/25/22,5,Cheyenna,1:55,1
Atlantis,3/25/22,5,Cheyenna,3:24,3
Atlantis,3/25/22,5,Cheyenna,3:00,0
Atlantis,3/25/22,5,Cheyenna,0:39,3
Atlantis,3/25/22,5,Cheyenna,2:39,11
Atlantis,3/25/22,5,Cheyenna,3:55,0
Atlantis,3/25/22,5,Cheyenna,4:23,0
Atlantis,3/25/22,5,Remon,6:28,6
Atlantis,3/25/22,5,Remon,0:16,6
Atlantis,3/25/22,5,Remon,5:47,0
Atlantis,3/25/22,5,Remon,6:24,0
Atlantis,3/25/22,5,Remon,3:46,1
Atlantis,3/25/22,5,Remon,3:55,3
Atlantis,3/25/22,5,Remon,4:39,1
Atlantis,3/25/22,5,Remon,3:55,7
Atlantis,3/25/22,5,Remon,5:11,0
Atlantis,3/25/22,5,Remon,3:21,6
Atlantis,3/25/22,5,Remon,5:23,5
Atlantis,3/25/22,5,Remon,1:08,12
Atlantis,3/25/22,5,Remon,6:09,1
Atlantis,3/25/22,5,Remon,4:11,6
Atlantis,3/25/22,5,Remon,4:34,2
Atlantis,3/25/22,5,Remon,6:18,12
Atlantis,3/25/22,5,Remon,4:52,3
Atlantis,3/25/22,5,Remon,5:50,2
Atlantis,3/25/22,5,Remon,2:37,0
Atlantis,3/25/22,5,Remon,4:01,6
Blue Bay,3/31/22,2,Nicole,4:40,5
Blue Bay,3/31/22,2,Nicole,1:36,2
Blue Bay,3/31/22,2,Nicole,3:51,2
Blue Bay,3/31/22,2,Nicole,8:41,5
Blue Bay,3/31/22,2,Nicole,4:27,3
Blue Bay,3/31/22,2,Nicole,4:12,0
Blue Bay,3/31/22,2,Nicole,4:12,4
Blue Bay,3/31/22,2,Nicole,5:17,2
Blue Bay,3/31/22,2,Nicole,3:18,9
Blue Bay,3/31/22,2,Nicole,8:22,9
Blue Bay,3/31/22,2,Nicole,7:18,2
Blue Bay,3/31/22,2,Nicole,4:24,2
Blue Bay,3/31/22,2,Nicole,4:24,0
Blue Bay,3/31/22,2,Nicole,8:46,4
Blue Bay,3/31/22,2,Nicole,4:12,0
Blue Bay,3/31/22,2,Nicole,4:02,1
Blue Bay,3/31/22,2,Nicole,4:57,4
Blue Bay,3/31/22,2,Nicole,4:06,2
Blue Bay,3/31/22,2,Nicole,8:03,6
Blue Bay,3/31/22,2,Nicole,6:27,5
Blue Bay,3/31/22,2,Nicole,3:38,2
Blue Bay,3/31/22,2,Nicole,3:15,0
Blue Bay,3/31/22,2,Nicole,1:10,0
Blue Bay,3/31/22,2,Nicole,4:27,11
Blue Bay,3/31/22,2,Nicole,4:18,4
Blue Bay,3/31/22,2,Nicole,3:49,2
Blue Bay,3/31/22,2,Nicole,4:27,4
Blue Bay,3/31/22,2,Nicole,4:06,4
Blue Bay,3/31/22,2,Nicole,4:27,3
Blue Bay,3/31/22,2,Nicole,4:27,0
Blue Bay,3/31/22,2,Nicole,3:01,3
Blue Bay,3/31/22,2,Nicole,4:22,1
Blue Bay,3/31/22,2,Nicole,4:18,8
Blue Bay,3/31/22,2,Nicole,4:12,3
Blue Bay,3/31/22,2,Nicole,6:39,2
Blue Bay,3/31/22,2,Nicole,3:15,0
Blue Bay,3/31/22,2,Nicole,3:49,10
Blue Bay,3/31/22,2,Nicole,4:27,0
Blue Bay,3/31/22,2,Nicole,4:27,0
Blue Bay,3/31/22,2,Nicole,2:04,0
Blue Bay,3/31/22,2,Nicole,3:51,6
Blue Bay,3/31/22,2,Nicole,6:47,4
Blue Bay,3/31/22,2,Nicole,6:59,6
Blue Bay,3/31/22,2,Nicole,6:59,1
Blue Bay,3/31/22,2,Nicole,4:58,2
Blue Bay,3/31/22,2,Nicole,7:09,0
Blue Bay,3/31/22,2,Nicole,7:09,3
Blue Bay,3/31/22,2,Nicole,3:27,1
Blue Bay,3/31/22,2,Nicole,0:44,5
Blue Bay,3/31/22,2,Nicole,3:13,5
Blue Bay,3/31/22,2,Nicole,3:49,13
Blue Bay,3/31/22,2,Nicole,1:42,3
Blue Bay,3/31/22,2,Nicole,5:22,3
Blue Bay,3/31/22,2,Nicole,2:40,19
Blue Bay,3/31/22,2,Nicole,5:50,7
Blue Bay,3/31/22,2,Nicole,4:44,11
Blue Bay,3/31/22,2,Nicole,6:20,9
Blue Bay,3/31/22,2,Nicole,2:52,18
Blue Bay,3/31/22,2,Nicole,7:09,2
Blue Bay,3/31/22,2,Nicole,6:06,2
Blue Bay,3/31/22,2,Nicole,5:05,0
Blue Bay,3/31/22,2,Nicole,3:15,0
Blue Bay,3/31/22,2,Nicole,2:41,2
Blue Bay,3/31/22,2,Nicole,3:40,11
Blue Bay,3/31/22,2,Nicole,0:21,1
Blue Bay,3/31/22,2,Nicole,5:20,2
Blue Bay,3/31/22,2,Nicole,5:27,3
Blue Bay,3/31/22,2,Nicole,5:37,8
Blue Bay,3/31/22,2,Nicole,6:16,8
Blue Bay,3/31/22,2,Nicole,0:52,3
Blue Bay,3/31/22,2,Nicole,1:16,4
Blue Bay,3/31/22,2,Nicole,2:20,0
Blue Bay,3/31/22,2,Nicole,4:27,2
Blue Bay,3/31/22,2,Nicole,3:11,27
Blue Bay,3/31/22,2,Nicole,3:15,0
Blue Bay,3/31/22,2,Nicole,1:26,2
Blue Bay,3/31/22,2,Nicole,5:22,0
Blue Bay,3/31/22,2,Nicole,0:32,4
Blue Bay,3/31/22,2,Nicole,1:49,2
Blue Bay,3/31/22,2,Nicole,0:56,0
Blue Bay,3/31/22,2,Nicole,2:06,0
Blue Bay,3/31/22,2,Nicole,2:15,0
Blue Bay,3/31/22,2,Nicole,5:43,0
Blue Bay,3/31/22,2,Nicole,4:27,0
Blue Bay,3/31/22,2,Nicole,0:34,1
Blue Bay,3/31/22,2,Nicole,0:52,0
Blue Bay,3/31/22,2,Nicole,1:09,0
Blue Bay,3/31/22,2,Nicole,4:27,5
Blue Bay,3/31/22,2,Nicole,2:00,2
Blue Bay,3/31/22,2,Nicole,1:37,2
Blue Bay,3/31/22,2,Nicole,1:20,6
Blue Bay,3/31/22,2,Nicole,3:13,4
Blue Bay,3/31/22,2,Nicole,0:21,6
Blue Bay,3/31/22,2,Nicole,3:13,0
Blue Bay,3/31/22,2,Pieter,4:29,4
Blue Bay,3/31/22,2,Pieter,4:22,4
Blue Bay,3/31/22,2,Pieter,5:34,3
Blue Bay,3/31/22,2,Pieter,9:42,2
Blue Bay,3/31/22,2,Pieter,4:26,9
Blue Bay,3/31/22,2,Pieter,8:43,12
Blue Bay,3/31/22,2,Pieter,8:36,2
Blue Bay,3/31/22,2,Pieter,4:16,8
Blue Bay,3/31/22,2,Pieter,8:24,0
Blue Bay,3/31/22,2,Pieter,6:05,5
Blue Bay,3/31/22,2,Pieter,2:39,2
Blue Bay,3/31/22,2,Pieter,5:19,8
Blue Bay,3/31/22,2,Pieter,9:42,3
Blue Bay,3/31/22,2,Pieter,8:44,2
Blue Bay,3/31/22,2,Pieter,4:16,0
Blue Bay,3/31/22,2,Pieter,3:56,24
Blue Bay,3/31/22,2,Pieter,6:09,0
Blue Bay,3/31/22,2,Pieter,4:39,0
